model,variable,coef,se,pvalue,nobs,r2
m2,C(ubigeo)[T.140111],-0.1843063705439419,0.004785907559699261,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.140112],-0.18910787321167724,0.004828012817162901,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.140113],-0.1727177585537385,0.004709056232999313,1.6508758071632154e-294,51862,0.034120678215294964
m2,C(ubigeo)[T.140114],-0.16498628289225395,0.0046759517074980205,1.033316179693485e-272,51862,0.034120678215294964
m2,C(ubigeo)[T.140115],-0.17205109734738683,0.004706521800594672,1.4374743785609075e-292,51862,0.034120678215294964
m2,C(ubigeo)[T.140116],-0.18366644937799295,0.0048117430427741205,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.140117],-0.17348153206037142,0.004704707288577758,1.2051243923668579e-297,51862,0.034120678215294964
m2,C(ubigeo)[T.140118],-0.1552420741739672,0.004642230699398674,3.4477420879612028e-245,51862,0.034120678215294964
m2,C(ubigeo)[T.140119],-0.19101050068368763,0.004900642750793559,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.140120],-0.144934425054416,0.004606229136171352,2.6276970192385127e-217,51862,0.034120678215294964
m2,C(ubigeo)[T.140121],-0.16949686299442174,0.004691908400926332,9.071152725389963e-286,51862,0.034120678215294964
m2,C(ubigeo)[T.140122],-0.19542924718973134,0.0050301349589980515,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.140123],-0.13999593679325872,0.0045937971983306975,5.590074311008752e-204,51862,0.034120678215294964
m2,C(ubigeo)[T.140124],-0.17598275760013377,0.004722461495254007,6.045867469557283e-304,51862,0.034120678215294964
m2,C(ubigeo)[T.140125],-0.19039728100849454,0.004844113091234873,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.140126],-0.19834641758294463,0.005132984454771064,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.140127],-0.17384131493188545,0.004708362302650202,2.0638245560383225e-298,51862,0.034120678215294964
m2,C(ubigeo)[T.140128],0.028827108933317417,0.004729900331586584,1.0967397774168547e-09,51862,0.034120678215294964
m2,C(ubigeo)[T.140129],-0.1720510973473394,0.004706521800597432,1.4374743802180989e-292,51862,0.034120678215294964
m2,C(ubigeo)[T.140130],-0.19057266731781225,0.004946230619861639,0.0,51862,0.034120678215294964
m2,C(ubigeo)[T.140131],-0.17999226727683798,0.00475039908118237,0.0,51862,0.034120678215294964
